salinity,sediment,root,f,jar_no,jar_notnum,plant_no,shoot_length,width,root_length,necrosis,leaves,new_shoots,shoot_weight,root_weight
M,Intact,Intact,S+R+,40,Jar40,b,11.1,4,5.1,75,3,0,0.0175,0.0612
M,Intact,Intact,S+R+,44,Jar44,b,9.9,2,3.6,0,2,0,0.02,0.0508
M,Intact,Intact,S+R+,40,Jar40,c,12.5,4,5.9,50,2,0,0.0237,0.0485
M,Intact,Intact,S+R+,39,Jar39,c,10.7,2,4.5,0,3,0,0.0133,0.0449
M,Intact,Intact,S+R+,44,Jar44,a,5.4,2,3.4,0,1,0,0.0053,0.0212
M,Disrupted,Disrupted,S-R-,58,Jar58,a,10.1,2,6.4,0,3,0,0.0295,0.4758
M,Disrupted,Disrupted,S-R-,60,Jar60,c,14.4,3,6.8,5,4,1,0.0534,0.4697
M,Disrupted,Disrupted,S-R-,58,Jar58,c,12.6,3,6.1,0,6,1,0.0843,0.4578
M,Disrupted,Disrupted,S-R-,61,Jar61,c,7.5,3,5.2,5,3,0,0.0871,0.3439
M,Disrupted,Disrupted,S-R-,61,Jar61,a,10.6,3,4.9,0,2,0,0.0346,0.3259
M,Disrupted,Disrupted,S-R-,60,Jar60,b,14.9,3,7.3,0,2,0,0.0384,0.307
M,Disrupted,Disrupted,S-R-,58,Jar58,b,11.6,3,6.6,0,3,0,0.0936,0.268
M,Disrupted,Disrupted,S-R-,59,Jar59,c,14.4,2,6.7,5,2,1,0.0225,0.2076
M,Disrupted,Disrupted,S-R-,59,Jar59,a,16,3,5.6,25,3,1,0.0265,0.1884
M,Disrupted,Disrupted,S-R-,57,Jar57,a,10.7,2,5.9,75,2,0,0.014,0.1501
M,Disrupted,Disrupted,S-R-,59,Jar59,b,10.4,3,5.7,25,2,1,0.0227,0.1444
M,Disrupted,Disrupted,S-R-,57,Jar57,c,9.4,3,5.5,90,1,0,0.0165,0.1402
M,Disrupted,Disrupted,S-R-,62,Jar62,c,12.2,3,6,25,2,0,0.0198,0.1297
M,Disrupted,Disrupted,S-R-,57,Jar57,b,11.8,3,6.8,75,2,0,0.021,0.1281
M,Disrupted,Disrupted,S-R-,62,Jar62,a,10.9,2,5.3,75,2,0,0.0229,0.1077
M,Disrupted,Disrupted,S-R-,61,Jar61,b,11,3,5.6,25,3,0,0.0223,0.0985
M,Disrupted,Disrupted,S-R-,62,Jar62,b,9.3,3,6.2,50,2,0,0.0297,0.0894
M,Disrupted,Disrupted,S-R-,60,Jar60,a,12.2,2,6.7,0,2,0,0.016,0.0511
M,Intact,Disrupted,S+R-,46,Jar46,c,10.6,3,5.5,25,2,0,0.0313,0.3274
M,Intact,Disrupted,S+R-,48,Jar48,a,15.4,4,7.5,25,3,1,0.0323,0.32339
M,Intact,Disrupted,S+R-,47,Jar47,b,12.1,3,5.3,5,2,0,0.0563,0.2711
M,Intact,Disrupted,S+R-,49,Jar49,c,12.8,3,5.3,50,3,1,0.024,0.2607
M,Intact,Disrupted,S+R-,48,Jar48,c,10,2,7.9,50,2,0,0.0137,0.209
M,Intact,Disrupted,S+R-,45,Jar45,b,10.2,2,6,75,1,0,0.0174,0.1822
M,Intact,Disrupted,S+R-,50,Jar50,b,12.2,3,4.6,25,2,0,0.0267,0.1557
M,Intact,Disrupted,S+R-,50,Jar50,a,13.5,3,7.4,0,2,0,0.019,0.1376
M,Intact,Disrupted,S+R-,49,Jar49,b,10.8,2,8.1,50,2,0,0.0156,0.1344
M,Intact,Disrupted,S+R-,47,Jar47,c,11.7,3,5.7,0,2,0,0.0216,0.1281
M,Intact,Disrupted,S+R-,49,Jar49,a,9.8,2,5,75,2,0,0.0167,0.1279
M,Intact,Disrupted,S+R-,48,Jar48,b,10.1,3,6.5,25,2,1,0.0233,0.124
M,Intact,Disrupted,S+R-,50,Jar50,c,12.1,2,4.3,25,2,0,0.0272,0.1147
M,Intact,Disrupted,S+R-,46,Jar46,b,11.6,2,5.3,25,2,0,0.0248,0.1024
M,Intact,Disrupted,S+R-,46,Jar46,a,8.4,3,3.5,50,1,0,0.0218,0.0977
M,Intact,Disrupted,S+R-,45,Jar45,c,10,3,8.2,75,2,0,0.0315,0.0916
M,Intact,Disrupted,S+R-,45,Jar45,a,11.2,3,8.4,75,2,0,0.0286,0.0643
M,Intact,Disrupted,S+R-,47,Jar47,a,9.8,3,5.1,0,3,0,0.0228,0.0605
Z,Disrupted,Intact,S-R+,93,Jar93,a,14,3,5.5,50,2,1,0.0219,0.3847
Z,Disrupted,Intact,S-R+,90,Jar90,a,10,3,8.4,75,2,0,0.0235,0.2601
Z,Disrupted,Intact,S-R+,90,Jar90,c,10.8,3,6.1,90,3,1,0.019,0.2514
Z,Disrupted,Intact,S-R+,92,Jar92,c,12,4,7.8,50,2,0,0.0363,0.2167
Z,Disrupted,Intact,S-R+,91,Jar91,a,9.1,3,6.4,50,1,0,0.0201,0.2095
Z,Disrupted,Intact,S-R+,91,Jar91,b,9.9,2,6,75,2,0,0.0153,0.1771
Z,Disrupted,Intact,S-R+,92,Jar92,a,16.2,3,6.9,50,2,0,0.0307,0.1535
Z,Disrupted,Intact,S-R+,93,Jar93,c,11.5,4,7,50,2,0,0.0411,0.1241
Z,Disrupted,Intact,S-R+,90,Jar90,b,10.5,3,5.5,75,3,0,0.0284,0.1184
Z,Disrupted,Intact,S-R+,89,Jar89,c,10.1,3,3.9,50,1,0,0.0171,0.1077
Z,Disrupted,Intact,S-R+,94,Jar94,c,11.6,3,4.6,5,2,0,0.0317,0.0957
Z,Disrupted,Intact,S-R+,93,Jar93,b,11.2,4,5.6,50,3,1,0.0232,0.0937
Z,Disrupted,Intact,S-R+,94,Jar94,a,10.4,3,4.6,0,2,0,0.0304,0.0843
Z,Disrupted,Intact,S-R+,95,Jar95,a,12,4,6.3,75,2,1,0.0307,0.0812
Z,Disrupted,Intact,S-R+,89,Jar89,b,10.9,3,7.2,50,2,0,0.0458,0.0773
Z,Disrupted,Intact,S-R+,91,Jar91,c,9.6,2,4.5,75,2,0,0.0197,0.0627
Z,Disrupted,Intact,S-R+,94,Jar94,b,8.1,2,4.2,5,1,0,0.0054,0.0393
Z,Disrupted,Intact,S-R+,92,Jar92,b,11.5,3,4.8,50,1,0,0.0181,0.0328
Z,Intact,Intact,S+R+,77,Jar77,c,12.3,3,5.4,0,3,0,0.0451,0.2867
Z,Intact,Intact,S+R+,81,Jar81,b,12.2,3,6,75,2,1,0.0379,0.286
Z,Intact,Intact,S+R+,79,Jar79,b,13.1,4,5.7,50,2,1,0.0295,0.2436
Z,Intact,Intact,S+R+,80,Jar80,b,10.2,1,4.9,50,2,0,0.0163,0.2123
Z,Intact,Intact,S+R+,77,Jar77,a,9.8,2,5.4,0,2,0,0.0126,0.1584
Z,Intact,Intact,S+R+,82,Jar82,a,10.3,3,5.7,50,2,0,0.0174,0.1563
Z,Intact,Intact,S+R+,77,Jar77,b,12.6,3,6.7,5,2,0,0.0368,0.1262
Z,Intact,Intact,S+R+,79,Jar79,c,10.6,3,7,50,3,0,0.0174,0.117
Z,Intact,Intact,S+R+,80,Jar80,a,10,2,2.1,50,2,0,0.0351,0.1135
Z,Intact,Intact,S+R+,78,Jar78,c,11.4,3,6.4,50,2,1,0.0205,0.1064
Z,Intact,Intact,S+R+,78,Jar78,a,12,4,7.5,75,2,0,0.02223,0.0929
Z,Intact,Intact,S+R+,81,Jar81,a,12.2,3,6,50,1,0,0.299,0.0882
Z,Intact,Intact,S+R+,82,Jar82,c,8.5,2,3.4,50,1,0,0.0143,0.086
Z,Intact,Intact,S+R+,79,Jar79,a,11,2,6.5,50,2,0,0.0149,0.0793
Z,Intact,Intact,S+R+,81,Jar81,c,11.9,3,5,50,1,0,0.0213,0.055
Z,Intact,Intact,S+R+,78,Jar78,b,11.1,3,6.7,50,2,0,0.0192,0.0429
Z,Intact,Intact,S+R+,82,Jar82,b,9.1,2,4.3,25,2,0,0.0181,0.0338
Z,Disrupted,Disrupted,S-R-,99,Jar99,b,12.9,2,4.5,5,3,0,0.0373,0.349
Z,Disrupted,Disrupted,S-R-,96,Jar96,a,8.4,4,6.3,90,2,0,0.0279,0.3183
Z,Disrupted,Disrupted,S-R-,100,Jar100,b,11.3,2,4.9,75,2,1,0.02,0.2979
Z,Disrupted,Disrupted,S-R-,96,Jar96,c,9.5,2,5.4,50,6,1,0.0441,0.271
Z,Disrupted,Disrupted,S-R-,98,Jar98,c,12.6,3,8.2,50,2,1,0.0312,0.2122
Z,Disrupted,Disrupted,S-R-,100,Jar100,c,10.8,2,5.5,50,2,1,0.0205,0.2057
Z,Disrupted,Disrupted,S-R-,100,Jar100,a,13,3,6,50,2,0,0.0235,0.2046
Z,Disrupted,Disrupted,S-R-,99,Jar99,a,15,5,8.1,0,3,0,0.0689,0.2042
Z,Disrupted,Disrupted,S-R-,96,Jar96,b,11.7,2,6.2,25,2,0,0.0234,0.1663
Z,Disrupted,Disrupted,S-R-,97,Jar97,b,10.8,4,7.6,25,2,0,0.0368,0.1543
Z,Disrupted,Disrupted,S-R-,98,Jar98,a,12.2,3,5.4,50,3,1,0.0383,0.1428
Z,Disrupted,Disrupted,S-R-,95,Jar95,b,14.1,3,7.5,50,2,0,0.034,0.122
Z,Disrupted,Disrupted,S-R-,97,Jar97,c,10.9,4,5.9,25,1,0,0.0424,0.1173
Z,Disrupted,Disrupted,S-R-,95,Jar95,c,10.3,3,4.9,75,2,0,0.033,0.1044
Z,Disrupted,Disrupted,S-R-,98,Jar98,b,11.7,3,6.3,50,2,0,0.029,0.0869
